method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
BOCPD-BPC,0.0025,20,303,0.12702768494708214,1.129452723881294,0.6951175393729374
R-BOCPD-PF-halfdiscrepancy,0.0025,20,303,0.013871263112831874,0.5790677404200768,0.3203784147491569
DA,0.0025,20,404,0.01653745537607708,0.9416134676028942,0.5662049697390918
BC,0.0025,20,404,0.14001229722210812,0.9529798092513249,0.576403370191311
BPC-80,0.0025,20,404,0.0826252152416885,0.9190751797166364,0.5578078478574753
BOCPD-BPC,0.0025,20,404,0.12164173213244708,1.1120961883972431,0.6933544483678095
R-BOCPD-PF-halfdiscrepancy,0.0025,20,404,0.017137026517232777,0.6357061200219016,0.3485366340618275
DA,0.0025,20,505,0.014714577348165944,0.9486375266108019,0.5682415263406162
BC,0.0025,20,505,0.14227106838863288,0.9600840303404578,0.5773175749285467
BPC-80,0.0025,20,505,0.08694864299769031,0.9293716272403454,0.5593870616164701
BOCPD-BPC,0.0025,20,505,0.12457088159021823,1.120984271682542,0.6880964158937849
R-BOCPD-PF-halfdiscrepancy,0.0025,20,505,0.014750401654734343,0.6355436732024871,0.34740422908885377
