method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
PF-OGP,0.0025,20,101,0.10304134295633373,1.3052900415674298,0.7706049664151651
BOCPD-PF,0.0025,20,101,0.12270140240346027,0.6753758278620505,0.3727217364725213
R-BOCPD-PF-usediscrepancy,0.0025,20,101,0.08817578368462922,0.5850801829524979,0.3227187551905497
R-BOCPD-PF-nodiscrepancy,0.0025,20,101,0.014736922597779914,1.890026008225263,1.0750832959322543
R-BOCPD-PF-OGP,0.0025,20,202,0.015051915411787733,0.5599200727832984,0.3080772862514561
PF-OGP,0.0025,20,202,0.1088611110264049,1.2764472466970642,0.7647512319807206
BOCPD-PF,0.0025,20,202,0.11599209115566529,0.6515321216296656,0.3625537203471893
R-BOCPD-PF-usediscrepancy,0.0025,20,202,0.09918682883568672,0.5869081342822394,0.32453669121441747
R-BOCPD-PF-nodiscrepancy,0.0025,20,202,0.02128567537927848,1.8581423613138222,1.0584671868199773
R-BOCPD-PF-OGP,0.0025,20,303,0.013410978916713362,0.5481215115042697,0.29909655469643387
PF-OGP,0.0025,20,303,0.09283327729033347,1.2320975272518946,0.7245475932509422
BOCPD-PF,0.0025,20,303,0.11343827289778971,0.6461685552760142,0.35564617366876916
R-BOCPD-PF-usediscrepancy,0.0025,20,303,0.07819682920785967,0.5873040837489951,0.32328723266878456
R-BOCPD-PF-nodiscrepancy,0.0025,20,303,0.017861254531911685,1.8720133076324674,1.0610834405689258
R-BOCPD-PF-OGP,0.0025,20,404,0.014760132878960854,0.5562862741011005,0.297453352984581
PF-OGP,0.0025,20,404,0.0970594208957262,1.2517452669541258,0.7286488954332372
BOCPD-PF,0.0025,20,404,0.11898494256750512,0.6578737683205266,0.3606428280753538
R-BOCPD-PF-usediscrepancy,0.0025,20,404,0.08085169513858792,0.5937681831436017,0.3242795988181718
R-BOCPD-PF-nodiscrepancy,0.0025,20,404,0.018061889475764415,1.8830003550527428,1.0747070141869182
R-BOCPD-PF-OGP,0.0025,20,505,0.01288257646193441,0.5643639840434941,0.3066809201507579
PF-OGP,0.0025,20,505,0.10412374956066342,1.2721381116256125,0.7410818562863857
BOCPD-PF,0.0025,20,505,0.12529517055013273,0.6749839609853336,0.3692850133860285
R-BOCPD-PF-usediscrepancy,0.0025,20,505,0.07849824255575832,0.6206416018022718,0.3391765166152669
R-BOCPD-PF-nodiscrepancy,0.0025,20,505,0.017540594587565236,1.8789798869252274,1.0651391570639215
