method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
DA,80,5.0,20,303,1.6273585589059318,1.9828561981519064,1.4687354172269502
BC,80,5.0,20,303,0.5355896608027737,1.9808565020561217,1.4733694861332576
BOCPD-PF,80,5.0,20,303,1.0133917501725165,2.0255971341979335,0.9520905946253468
BPC-80,80,5.0,20,303,0.591776376802255,2.1099343140920004,
BOCPD-BPC,80,5.0,20,303,0.20806681924131623,1.9185966889063517,
R-BOCPD-PF-OGP,80,5.0,20,303,0.8707251418465383,1.126373170768282,
PF-OGP,80,5.0,20,303,1.41127452795718,2.232023449630842,
R-BOCPD-PF-usediscrepancy,80,5.0,20,303,0.5948469689068244,1.9409184508164918,0.7996380479783891
R-BOCPD-PF-nodiscrepancy,80,5.0,20,303,0.47929207618934727,2.0170179374082786,1.1291335558235198
R-BOCPD-PF-halfdiscrepancy,80,5.0,20,303,0.5918348726469171,1.9447819233491386,0.8002842277025777
DA,80,5.0,20,404,1.6306822106449492,1.9682692815860112,1.4674061005314192
BC,80,5.0,20,404,0.15782991605417454,1.9667832215627035,1.472434184451898
BOCPD-PF,80,5.0,20,404,0.9435887801333179,1.9645719023130037,0.9130835521423327
BPC-80,80,5.0,20,404,0.6965374191674552,2.1332596143086753,
BOCPD-BPC,80,5.0,20,404,0.09358466025228719,1.8926915645599365,
R-BOCPD-PF-OGP,80,5.0,20,404,0.049430754373382624,1.0217756065767694,
PF-OGP,80,5.0,20,404,1.4628711372582923,2.2205517133975325,
R-BOCPD-PF-usediscrepancy,80,5.0,20,404,0.047995820787034495,1.9094768063282237,0.681913141298545
R-BOCPD-PF-nodiscrepancy,80,5.0,20,404,0.33482931430015644,1.9457077372957492,0.7769250250160458
R-BOCPD-PF-halfdiscrepancy,80,5.0,20,404,0.9915461921773383,1.933033614451037,0.9879931332045991
DA,80,5.0,20,505,1.6311196079811825,2.0097002079089483,1.504166729748249
BC,80,5.0,20,505,0.33044919084106106,2.003921114404996,1.5030081460873286
