method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-OGP,120,0.5,20,202,0.010816373441991553,0.2919827910652609,
PF-OGP,120,0.5,20,202,0.01335672142822273,0.35749792309972844,
R-BOCPD-PF-usediscrepancy,120,0.5,20,202,0.05100461080976219,1.6621961805441463,0.17221538540992928
R-BOCPD-PF-nodiscrepancy,120,0.5,20,202,0.012773325706830338,1.6577453686291204,0.4116916455085343
R-BOCPD-PF-halfdiscrepancy,120,0.5,20,202,0.01258570453235244,1.6576198899981645,0.41099839641210517
DA,120,0.5,20,303,0.012405991960124785,0.38878847658634186,0.22768383667520856
BC,120,0.5,20,303,0.06694828273104471,0.3889616416848224,0.22868599515894186
BOCPD-PF,120,0.5,20,303,0.07064235122887047,1.6963526789446481,0.19409775744163174
BPC-80,120,0.5,20,303,0.05715658755241557,1.6526021439096201,
BOCPD-BPC,120,0.5,20,303,0.09126087047268688,1.6694442500238833,
R-BOCPD-PF-OGP,120,0.5,20,303,0.0115266313674623,0.30898426593936323,
PF-OGP,120,0.5,20,303,0.015166940034376778,0.37474789486791793,
R-BOCPD-PF-usediscrepancy,120,0.5,20,303,0.02917218433244808,1.67899497300911,0.1757663349866726
R-BOCPD-PF-nodiscrepancy,120,0.5,20,303,0.015862036201393263,1.6772353045156543,0.4209746232707662
R-BOCPD-PF-halfdiscrepancy,120,0.5,20,303,0.014869250651297676,1.6769999890566323,0.4215435547293769
DA,120,0.5,20,404,0.013992934535323623,0.37484141471593274,0.21622060174527374
BC,120,0.5,20,404,0.07177029726320001,0.3739670093940652,0.21649804225434427
BOCPD-PF,120,0.5,20,404,0.0938997745339612,1.7322084675144072,0.18632446401408642
BPC-80,120,0.5,20,404,0.060898737160970585,1.6692521934923918,
BOCPD-BPC,120,0.5,20,404,0.10658801981083524,1.6950270663137021,
R-BOCPD-PF-OGP,120,0.5,20,404,0.01091176393931286,0.29608629063820724,
PF-OGP,120,0.5,20,404,0.01795555361807231,0.3487268671062223,
R-BOCPD-PF-usediscrepancy,120,0.5,20,404,0.06059680522789367,1.7158651368506923,0.1744134336416751
R-BOCPD-PF-nodiscrepancy,120,0.5,20,404,0.014064638141101942,1.6949232821596418,0.41017567857258763
R-BOCPD-PF-halfdiscrepancy,120,0.5,20,404,0.015123434755175913,1.6947030629856568,0.4079479661481255
DA,120,0.5,20,505,0.014260300018006522,0.37693958567536395,0.21794724529204162
BC,120,0.5,20,505,0.06409946224762571,0.3764734747617141,0.2181385473712631
BOCPD-PF,120,0.5,20,505,0.07176516678113345,1.7045464056903108,0.19407957003890147
BPC-80,120,0.5,20,505,0.05985476863600117,1.6565538281979768,
BOCPD-BPC,120,0.5,20,505,0.09798434054416595,1.6759656771369602,
R-BOCPD-PF-OGP,120,0.5,20,505,0.009627383681612325,0.3009044680887221,
PF-OGP,120,0.5,20,505,0.015543713909439627,0.3601138886842171,
R-BOCPD-PF-usediscrepancy,120,0.5,20,505,0.06496827240416926,1.703232705036377,0.18999270077481584
R-BOCPD-PF-nodiscrepancy,120,0.5,20,505,0.018288940282238996,1.6828246365406774,0.4039861337242755
R-BOCPD-PF-halfdiscrepancy,120,0.5,20,505,0.017067999283811683,1.6823830921115033,0.40460502998300346
DA,120,1.0,20,101,0.025653351185649372,0.6019160598516464,0.3624428717986397
BC,120,1.0,20,101,0.14148489612817805,0.6025718554206516,0.3639879035560981
BOCPD-PF,120,1.0,20,101,0.04797418356739979,1.623782271840486,0.2748269174823494
BPC-80,120,1.0,20,101,0.08699604365004579,1.5940904047178186,
BOCPD-BPC,120,1.0,20,101,0.09609642254361292,1.6027939526931099,
R-BOCPD-PF-OGP,120,1.0,20,101,0.011712901597050622,0.40658866179419506,
