batch_idx,group,rank,Q,R,W,M1,M2,theta_true,theta_est,pred_mu,pred_sigma,actual_y
31,candidate,2,99,100,10,3,2,11.332659540102629,11.808662069111433,1084200.7920810315,334919.30356503214,1065752.0
31,candidate,3,100,100,10,3,2,11.332659540102629,11.808662069111433,1083200.4990776256,334775.05314947653,1060526.0
31,candidate,4,98,100,11,3,2,11.332659540102629,11.808662069111433,1082391.7409861803,334529.278869999,1062842.0
31,candidate,5,99,100,11,3,2,11.332659540102629,11.808662069111433,1080741.6109417677,334193.3212815614,1065752.0
31,baseline,1,64,90,11,3,2,11.332659540102629,11.808662069111433,1151826.125,0.0,1090543.0
31,baseline,2,57,91,11,3,2,11.332659540102629,11.808662069111433,1148794.875,0.0,1100879.0
31,baseline,3,59,93,11,3,2,11.332659540102629,11.808662069111433,1148783.625,0.0,1098480.0
31,baseline,4,56,94,10,3,2,11.332659540102629,11.808662069111433,1146001.0,0.0,1101340.0
31,baseline,5,52,91,10,3,2,11.332659540102629,11.808662069111433,1143635.0,0.0,1097955.0
32,candidate,1,98,100,10,3,2,11.372619992068417,11.84457904768691,1080074.5575023168,341542.5803000303,1062801.0
32,candidate,2,98,100,11,3,2,11.372619992068417,11.84457904768691,1079246.9095290606,341070.1944840783,1059571.0
32,candidate,3,99,100,10,3,2,11.372619992068417,11.84457904768691,1078693.7875610904,341312.436836876,1062428.0
32,candidate,4,100,100,10,3,2,11.372619992068417,11.84457904768691,1077395.1141706724,341099.48215971794,1057228.0
32,candidate,5,99,100,11,3,2,11.372619992068417,11.84457904768691,1077495.88345947,340677.8678799059,1062428.0
32,baseline,1,64,90,11,3,2,11.372619992068417,11.84457904768691,1151826.125,0.0,1087057.0
32,baseline,2,57,91,11,3,2,11.372619992068417,11.84457904768691,1148794.875,0.0,1097222.0
32,baseline,3,59,93,11,3,2,11.372619992068417,11.84457904768691,1148783.625,0.0,1094839.0
32,baseline,4,56,94,10,3,2,11.372619992068417,11.84457904768691,1146001.0,0.0,1097682.0
32,baseline,5,52,91,10,3,2,11.372619992068417,11.84457904768691,1143635.0,0.0,1094366.0
33,candidate,1,97,100,11,3,2,11.932676467748646,12.027379496550537,1077988.426219105,337156.48650165496,1015041.0
33,candidate,2,97,100,10,3,2,11.932676467748646,12.027379496550537,1077750.7518326635,337127.68738045875,1015817.0
33,candidate,3,98,100,10,3,2,11.932676467748646,12.027379496550537,1076314.7094705508,336861.54392913455,1013913.0
33,candidate,4,98,100,11,3,2,11.932676467748646,12.027379496550537,1076302.5978552944,336786.7573686117,1013913.0
33,candidate,5,99,100,10,3,2,11.932676467748646,12.027379496550537,1074962.594321815,336634.2876096501,1015845.0
33,baseline,1,64,90,11,3,2,11.932676467748646,12.027379496550537,1151826.125,0.0,1037289.0
33,baseline,2,57,91,11,3,2,11.932676467748646,12.027379496550537,1148794.875,0.0,1047467.0
33,baseline,3,59,93,11,3,2,11.932676467748646,12.027379496550537,1148783.625,0.0,1044864.0
33,baseline,4,56,94,10,3,2,11.932676467748646,12.027379496550537,1146001.0,0.0,1047504.0
33,baseline,5,52,91,10,3,2,11.932676467748646,12.027379496550537,1143635.0,0.0,1050284.0
34,candidate,1,100,99,12,3,2,11.671727298005072,12.067691987178545,1074322.710262998,334224.7943090624,1040132.0
34,candidate,2,98,99,12,3,2,11.671727298005072,12.067691987178545,1074132.0540395116,334324.84895713424,1038336.0
34,candidate,3,100,100,12,3,2,11.671727298005072,12.067691987178545,1073304.2870333,334015.84486427123,1039227.0
34,candidate,4,98,100,12,3,2,11.671727298005072,12.067691987178545,1073055.0837363326,334103.6155889812,1041385.0
34,candidate,5,97,100,12,3,2,11.671727298005072,12.067691987178545,1072308.3662933,334056.9950548237,1044482.0
34,baseline,1,64,90,11,3,2,11.671727298005072,12.067691987178545,1151826.125,0.0,1066568.0
34,baseline,2,57,91,11,3,2,11.671727298005072,12.067691987178545,1148794.875,0.0,1076601.0
34,baseline,3,59,93,11,3,2,11.671727298005072,12.067691987178545,1148783.625,0.0,1074141.0
