batch_idx,theta_true,theta_est,theta_est_std,did_restart,pred_selected_mean,pred_selected_best,pred_base_mean,pred_base_best,y_selected_mean,y_selected_best,y_base,y_base_best,reality_gap_mean,reality_gap_best,cum_gap_mean,cum_gap_best,theta_abs_error
29,11.67615609877604,11.866823254134324,0.5961291086589209,False,1093434.0515779941,1096348.8131999779,1147808.125,1151826.125,1040539.2,1043392.0,1073715.8,1078234.0,-52894.85157799418,-52956.813199977856,10147219.400000002,9326574.0,0.19066715535828394
30,10.692305453169011,11.78309783245656,0.5531718591466942,False,1067415.9674636242,1068959.645864273,1147808.125,1151826.125,1113094.6,1114702.0,1151023.0,1156405.0,45678.632536375895,45742.354135727044,10109291.000000002,9284871.0,1.0907923792875494
31,11.332659540102629,11.808662069111433,0.9889834172302656,False,1083202.01909465,1085475.4523866442,1147808.125,1151826.125,1064192.6,1066091.0,1097839.4,1101340.0,-19009.419094649842,-19384.452386644203,10075644.200000003,9249622.0,0.47600252900880413
32,11.372619992068417,11.84457904768691,0.8018511223515926,False,1078581.2504445221,1080074.5575023168,1147808.125,1151826.125,1060891.2,1062801.0,1094233.2,1097682.0,-17690.050444522174,-17273.557502316777,10042302.200000003,9214741.0,0.47195905561849294
33,11.932676467748646,12.027379496550537,0.6876745870946313,False,1076663.8159398858,1077988.426219105,1147808.125,1151826.125,1014905.8,1015845.0,1045481.6,1050284.0,-61758.01593988575,-62143.42621910502,10011726.400000002,9180302.0,0.09470302880189152
34,11.671727298005072,12.067691987178545,0.6554296617923667,False,1073424.5002730885,1074322.710262998,1147808.125,1151826.125,1040712.4,1044482.0,1074664.2,1079179.0,-32712.100273088436,-29840.710262998007,9977774.600000001,9145605.0,0.39596468917347316
35,11.784298167231936,12.107068756191653,0.6000665046100536,False,1065698.1081589977,1066290.5887825256,1147808.125,1151826.125,1030806.2,1033446.0,1063571.8,1068218.0,-34891.90815899777,-32844.58878252562,9945009.000000002,9110833.0,0.3227705889597168
36,10.976937112465329,12.015768639530826,0.5290185038224366,False,1001204.9374489554,1056509.7212748453,1147808.125,1151826.125,1092901.2,1101000.0,1129903.2,1134166.0,91696.26255104458,44490.2787251547,9908007.000000002,9077667.0,1.038831527065497
37,11.396309093045785,11.985911278839044,0.5217063042901596,False,1068191.5042608504,1069021.6174878979,1147808.125,1151826.125,1063934.4,1064875.0,1093727.4,1098051.0,-4257.104260850465,-4146.617487897864,9878214.000000002,9044491.0,0.5896021857932592
38,12.127180376049063,12.080236223879366,0.48094965258503597,False,1066922.4919733698,1067921.053904441,1147808.125,1151826.125,1001081.4,1003003.0,1034769.8,1039764.0,-65841.09197336982,-64918.05390444095,9844525.600000001,9007730.0,0.04694415216969716
39,12.694744916176608,12.192829854933434,0.9040655288200676,False,1064049.30366074,1065526.613159432,1147808.125,1151826.125,969419.8,970681.0,995352.4,1000736.0,-94629.50366073987,-94845.61315943208,9818593.000000002,8977675.0,0.5019150612431744
40,18.992747574316702,14.113818989116359,1.4728360653553907,False,1056454.2204061463,1057084.6735858095,1147808.125,1151826.125,639891.4,640996.0,646771.2,651253.0,-416562.82040614623,-416088.67358580953,9811713.200000001,8967418.0,4.8789285852003434
41,21.21113901979125,22.260612643027727,2.7530970926802265,True,1011735.1432489458,1016103.8576053893,1147808.125,1151826.125,553768.2,554870.0,577139.2,579717.0,-457966.94324894587,-461233.8576053893,9788342.200000001,8942571.0,1.0494736232364765
42,21.076700339025844,21.728821441122342,2.0088014481150585,False,574005.8699316877,574190.2166740005,1147808.125,1151826.125,557877.2,558658.0,581333.8,583863.0,-16128.669931687764,-15532.21667400049,9764885.600000001,8917366.0,0.6521211020964977
43,20.62504912056034,21.319317327934833,1.6411072912042577,False,579081.4944833571,579201.3055944893,1147808.125,1151826.125,567276.8,573370.0,597101.4,600031.0,-11804.694483357016,-5831.305594489328,9735061.000000002,8890705.0,0.6942682073744919
44,20.211564504263443,20.964909915087333,1.4007638842161683,False,589559.2810574594,590568.6019004887,1147808.125,1151826.125,582051.4,582953.0,610161.2,613432.0,-7507.881057459395,-7615.60190048872,9706951.200000001,8860226.0,0.75334541082389
45,19.748861748370857,20.683627954843754,1.2435088578397036,False,593952.1310848196,594022.2342781624,1147808.125,1151826.125,587142.0,588555.0,620403.8,625042.0,-6810.131084819557,-5467.234278162359,9673689.4,8823739.0,0.9347662064728972
46,21.166416546829566,20.756678675335795,1.4233333435847662,False,609062.4685221636,609554.0399783958,1147808.125,1151826.125,550199.6,551009.0,577803.2,580366.0,-58862.8685221636,-58545.0399783958,9646085.8,8794382.0,0.40973787149377117
47,21.568206653159972,20.923295007286843,1.2836818402674948,False,596462.6147662841,596520.2052286435,1147808.125,1151826.125,544411.8,545581.0,568136.4,570744.0,-52050.81476628408,-50939.20522864349,9622361.200000001,8769219.0,0.6449116458731297
48,21.4413078958929,20.947493854127785,1.182958344559911,False,591909.262370969,591941.5956244842,1147808.125,1151826.125,547679.2,548126.0,571823.6,574435.0,-44230.0623709691,-43815.59562448424,9598216.8,8742910.0,0.49381404176511623
49,21.052083011787495,20.980691049151762,1.1067098292583362,False,590515.1069620724,590576.1173921847,1147808.125,1151826.125,558407.8,562018.0,583027.8,585535.0,-32107.306962072384,-28558.11739218468,9573596.8,8719393.0,0.07139196263573311
50,20.285904328527163,20.825850057573245,1.0311636171293475,False,591831.9298731495,591840.5128357142,1147808.125,1151826.125,579334.2,581280.0,608362.6,611592.0,-12497.72987314954,-10560.512835714151,9544568.4,8689081.0,0.5399457290460816
51,19.033345094174262,20.619119063651862,0.9828048288182477,False,591160.9931463678,591282.9796763202,1147808.125,1151826.125,607911.8,609313.0,645833.6,650322.0,16750.80685363221,18030.020323679782,9506646.6,8648072.0,1.5857739694776
52,19.996436693503934,20.573718135430845,0.9183009024903893,False,604188.2086996967,604917.4242166982,1147808.125,1151826.125,599938.4,600924.0,614537.2,619169.0,-4249.808699696674,-3993.4242166981567,9492047.799999999,8629827.0,0.5772814419269103
53,20.52517994806107,20.57598331840169,0.8852071686622409,False,603357.6750724002,603477.2860870619,1147808.125,1151826.125,577412.8,580961.0,599979.2,603000.0,-25944.875072400202,-22516.28608706186,9469481.399999999,8607788.0,0.050803370340620546
54,18.969310829000356,20.403470360808612,0.8500181056409244,False,595919.9787798838,596247.5155080293,1147808.125,1151826.125,615768.4,631467.0,647788.0,652262.0,19848.4212201162,35219.48449197074,9437461.799999999,8586993.0,1.4341595318082554
55,20.316097648145607,20.459034042239523,0.8251726569136902,False,611591.1527877117,612387.6817596477,1147808.125,1151826.125,586999.8,587840.0,607326.4,610559.0,-24591.352787711658,-24547.681759647676,9417135.2,8564274.0,0.14293639409391545
56,20.343890955857784,20.42054280510598,0.7964182652235593,False,600472.3199597216,600498.4289045824,1147808.125,1151826.125,578542.8,579970.0,605409.6,608626.0,-21929.519959721598,-20528.428904582397,9390268.399999999,8535618.0,0.07665184924819712
57,20.556834179170295,20.435934591377087,0.775162205426574,False,598703.9827776148,598720.9601913493,1147808.125,1151826.125,570284.4,571266.0,599042.6,602034.0,-28419.58277761482,-27454.960191349266,9361510.2,8504850.0,0.12089958779320753
