method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
BOCPD-PF,120,1.0,20,303,0.059181242098481676,0.4790548806082815,0.28128613297412836
R-BOCPD-PF-usediscrepancy,120,1.0,20,303,0.02766302056632828,0.3984892146049834,0.23841158625075712
R-BOCPD-PF-nodiscrepancy,120,1.0,20,303,0.01376081307132469,1.2990388541348705,0.7396093440093171
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,303,0.013363040196695547,0.7754877336658604,0.44168560518889305
BOCPD-PF,120,2.0,20,101,0.06247367742289603,0.7467426863695373,0.4545300101640986
R-BOCPD-PF-usediscrepancy,120,2.0,20,101,0.05990507945480867,0.5702214176722522,0.3585887131379414
R-BOCPD-PF-nodiscrepancy,120,2.0,20,101,0.028572063885315874,0.9962745747619984,0.5842278636218532
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,101,0.012504286973624826,0.9320054339480126,0.5517340767971406
BOCPD-PF,120,2.0,20,202,0.060431623260207123,0.7227776509543524,0.43829273968690513
R-BOCPD-PF-usediscrepancy,120,2.0,20,202,0.04970689697297879,0.55941420557787,0.3488740396329067
R-BOCPD-PF-nodiscrepancy,120,2.0,20,202,0.03404600716363344,1.8498785574314973,1.0595297579642529
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,202,0.018039414755685112,0.9251718897483979,0.5480003169066786
BOCPD-PF,120,2.0,20,303,0.03978358273368464,0.7601964759321259,0.45448874851257864
R-BOCPD-PF-usediscrepancy,120,2.0,20,303,0.024034355739788356,0.570334242909695,0.35213251176436144
R-BOCPD-PF-nodiscrepancy,120,2.0,20,303,0.013205542949703877,0.9230115969335998,0.5463205736850303
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,303,0.012607413140389708,0.5703031952672483,0.3522238283170673
BOCPD-PF,120,3.0,20,101,0.11304700352067508,0.8338581884877064,0.5151362448082445
R-BOCPD-PF-usediscrepancy,120,3.0,20,101,0.06224339469456084,0.6173307907991837,0.3953040287294196
R-BOCPD-PF-nodiscrepancy,120,3.0,20,101,0.06668508267640218,1.3654281929649372,0.7821482590554534
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,101,0.09538937794957408,1.1212224434284448,0.6724443112966568
BOCPD-PF,120,3.0,20,202,0.1012159021873764,0.826816506498884,0.5083599380700413
R-BOCPD-PF-usediscrepancy,120,3.0,20,202,0.05001669242822741,0.6124032139346207,0.3902225257164932
R-BOCPD-PF-nodiscrepancy,120,3.0,20,202,0.04847886774423224,0.7392438103179492,0.4643062831772991
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,202,0.010459966779426035,0.6123057303635632,0.38987142871697406
BOCPD-PF,120,3.0,20,303,0.09478822468658407,0.894916968007934,0.5517251862123446
R-BOCPD-PF-usediscrepancy,120,3.0,20,303,0.02183847348594223,0.7021347775708618,0.444004155416544
R-BOCPD-PF-nodiscrepancy,120,3.0,20,303,0.013353401571889812,0.7020779752350619,0.44403991893757083
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,303,0.04024667178693771,1.0652208272499506,0.6503381536222689
BOCPD-PF,200,0.5,20,101,0.06017014393282081,0.2795840658046173,0.1631528114875261
R-BOCPD-PF-usediscrepancy,200,0.5,20,101,0.039466287197409196,0.26417823690962666,0.15482750287146552
R-BOCPD-PF-nodiscrepancy,200,0.5,20,101,0.014572293142965981,0.7198812460567271,0.39814496828032975
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,101,0.02306232900022372,0.7172742374536417,0.3999245266979159
BOCPD-PF,200,0.5,20,202,0.0724139467841373,0.27897208674506707,0.16191433267077837
R-BOCPD-PF-usediscrepancy,200,0.5,20,202,0.06137194285351381,0.2627766081186721,0.15396840142207863
R-BOCPD-PF-nodiscrepancy,200,0.5,20,202,0.013626835645386873,0.71639210687305,0.3947898674286884
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,202,0.02191162326334383,0.6986832888473924,0.3875780041007937
BOCPD-PF,200,0.5,20,303,0.07461875004027961,0.2861544873388388,0.16758630385445628
R-BOCPD-PF-usediscrepancy,200,0.5,20,303,0.05737817422378318,0.2733916319249969,0.16040939034653376
R-BOCPD-PF-nodiscrepancy,200,0.5,20,303,0.012572375994109958,0.7394932189463743,0.41070001732807754
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,303,0.016024548929909805,0.7384543198489332,0.4137855849960509
BOCPD-PF,200,1.0,20,101,0.04910636425461191,0.36354068599508926,0.21419660611286723
R-BOCPD-PF-usediscrepancy,200,1.0,20,101,0.035743216982617024,0.3058209476891377,0.18332378960606727
